id,url,article,author,date
32,https://www.theverge.com/23323325/honor-70-review-120hz-display-snapdragon-778g-plus-triple-camera,"Honor 70 review: no deal-breakers, no showstoppers",Jon Porter$,2022-09-02
33,https://www.theverge.com/2022/9/1/23330632/free-to-play-gacha-games-closures-dragalia-lost-kingdom-hearts,The ticking time bomb of modern free-to-play games,Alicia Haddick$,2022-09-01
34,https://www.theverge.com/2022/9/2/23334338/elon-musk-twitter-david-sacks-subpoena-all-in-podcast,Judge agrees Musk’s buddy David Sacks is fighting a subpoena for podcast clout,Richard Lawler$,2022-09-02
35,https://www.theverge.com/2022/9/2/23326868/dalle-midjourney-ai-promptbase-prompt-market-sales-artist-interview,Professional AI whisperers have launched a marketplace for DALL-E prompts,Adi Robertson$,2022-09-02
36,https://www.theverge.com/23332916/bts-how-to-members-weverse-social-media,So you just discovered BTS,Monica Chin$,2022-09-02
37,https://www.theverge.com/2022/9/2/23333400/google-chromeos-touch-android-games-keyboard-controls,A new ChromeOS gaming overlay puts touch-based Android games on your PC,Richard Lawler$,NA
38,https://www.theverge.com/2022/9/2/23334150/lg-moodup-fridge-led-rgb-lighting-bluetooth-speaker-music-mood,LG’s MoodUp is a fridge that’s as flashy on the outside as I feel on the inside,Jon Porter$,2022-09-02
39,https://www.theverge.com/2022/9/2/23334102/google-play-third-party-payment-fee-countries,Google expands Play Store billing alternatives to many countries,Thomas Ricker$,2022-09-02
40,https://www.theverge.com/23323550/apple-maps-10-year-anniversary-iphone-google,Apple Maps turns 10 — and it’s finally worth using,Jay Peters$,2022-09-02
41,https://www.theverge.com/2022/9/1/23333652/apple-store-oklahoma-city-union-election-cwa,Another Apple Store union election is brewing,Mitchell Clark$,2022-09-02
42,https://www.theverge.com/2022/9/1/23333362/apple-app-store-lawsuit-flicktype-kosta-eleftheriou-scams,Apple settles lawsuit over its App Store moderation and power ,Mitchell Clark$,2022-09-01
43,https://www.theverge.com/2022/9/1/23333605/microsoft-xbox-game-pass-friends-family-pricing-confirmed,Microsoft confirms new Xbox Game Pass Friends & Family plan and its pricing,Tom Warren$,2022-09-01
44,https://www.theverge.com/good-deals/22916033/best-tablet-deals,Here are the best tablet deals right now,Alice Newcome-Beill$,2022-09-01
45,https://www.theverge.com/2022/9/1/23333515/lg-oled-flex-transforming-tv-curved-flat-hands-on,"Hang on, is LG secretly bringing back curved TVs?",Jon Porter$,2022-09-01
